country,card_url,general,country_link,city,PM2.5,date,hour
Afghanistan,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Kabul,US Diplomatic Post: Kabul,Afghanistan,"Kabul,",27.0,2020/09/08,13:00
Afghanistan,https://openaq.org/#/location/Kabul,US Diplomatic Post: Kabul,Afghanistan,"Kabul,",27.0,2020/09/08,13:00
Algeria,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Algiers,US Diplomatic Post: Algiers,Algeria,"Algiers,",16.0,2020/09/08,12:30
Antigua and Barbuda,https://openaq.org/#/location/Algiers,Algiers,Antigua,"N/A,",,,
Argentina,https://openaq.org/#/location/SPARTAN%20-%20CITEDEF,SPARTAN - CITEDEF,"Aires,",Buenos,,,
Australia,https://openaq.org/#/location/CBD,CBD,Australia,"Adelaide,",5.3,2020/09/08,11:00
Australia,https://openaq.org/#/location/Elizabeth,Elizabeth,Australia,"Adelaide,",9.0,2020/01/19,00:00
Australia,https://openaq.org/#/location/Le%20Fevre%201,Le Fevre 1,Australia,"Adelaide,",6.0,2020/09/08,06:00
Australia,https://openaq.org/#/location/Le%20Fevre%202,Le Fevre 2,Australia,"Adelaide,",5.0,2020/09/08,09:00
Australia,https://openaq.org/#/location/Netley,Netley,Australia,"Adelaide,",3.0,2020/09/08,13:00
Australia,https://openaq.org/#/location/Altona%20North%201,Altona North 1,North,Altona,,,
Australia,https://openaq.org/#/location/Altona%20North%202,Altona North 2,North,Altona,,,
Australia,https://openaq.org/#/location/Bairnsdale,Bairnsdale,Australia,"Bairnsdale,",,,
Australia,https://openaq.org/#/location/Bendigo,Bendigo,Australia,"Bendigo,",,,
Australia,https://openaq.org/#/location/Bright,Bright,Australia,"Bright,",,,
Australia,https://openaq.org/#/location/Campbellfield,Campbellfield,Australia,"Campbellfield,",4.9,2020/09/08,13:30
Australia,https://openaq.org/#/location/Civic,Civic,Australia,"Canberra,",8.41,2020/09/08,13:30
Australia,https://openaq.org/#/location/Florey,Florey,Australia,"Canberra,",16.94,2020/09/08,13:30
Australia,https://openaq.org/#/location/Monash,Monash,Australia,"Canberra,",,,
Austria,https://openaq.org/#/location/AT0ILL1,AT0ILL1,Austria,"Burgenland,",7.245,2020/09/08,12:30
Austria,https://openaq.org/#/location/AT10001,AT10001,Austria,"Burgenland,",,,
Austria,https://openaq.org/#/location/AT2KA21,AT2KA21,Austria,"Kärnten,",,,
Austria,https://openaq.org/#/location/AT2KA71,AT2KA71,Austria,"Kärnten,",,,
Austria,https://openaq.org/#/location/AT2WO15,,,,,,
Austria,https://openaq.org/#/location/AT30104,AT30104,Austria,"Niederösterreich,",,,
Austria,https://openaq.org/#/location/AT30407,,,,,,
Austria,https://openaq.org/#/location/AT31413,,,,,,
Austria,https://openaq.org/#/location/AT31902,,,,,,
Austria,https://openaq.org/#/location/AT32301,,,,,,
Austria,https://openaq.org/#/location/AT32701,,,,,,
Austria,https://openaq.org/#/location/AT0ENK1,,,,,,
Austria,https://openaq.org/#/location/AT0ZOE2,,,,,,
Austria,https://openaq.org/#/location/AT4S108,,,,,,
Austria,https://openaq.org/#/location/AT4S125,AT31902,Austria,"Niederösterreich,",,,
Bahrain,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Manama,AT0ENK1,Austria,"Oberösterreich,",,,
Bangladesh,https://openaq.org/#/location/SPARTAN%20-%20Dhaka%20University,,,,,,
Bangladesh,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Dhaka,,,,,,
Belgium,https://openaq.org/#/location/BELAL01,AT0ZOE2,Austria,"Oberösterreich,",,,
Belgium,https://openaq.org/#/location/BELHB23,AT4S108,Austria,"Oberösterreich,",,,
Belgium,https://openaq.org/#/location/BELSA04,,,,,,
Belgium,https://openaq.org/#/location/BETM802,,,,,,
Belgium,https://openaq.org/#/location/BETN016,,,,,,
Belgium,https://openaq.org/#/location/BETR801,,,,,,
Belgium,https://openaq.org/#/location/BETR802,,,,,,
Belgium,https://openaq.org/#/location/BETR803,US Diplomatic Post: Dhaka,Bangladesh,"Dhaka,",,,
Belgium,https://openaq.org/#/location/BETR805,,,,,,
Belgium,https://openaq.org/#/location/BETR811,BELHB23,Belgium,"Antwerpen,",,,
Belgium,https://openaq.org/#/location/BETR815,BETM802,Belgium,"Antwerpen,",,,
Belgium,https://openaq.org/#/location/BETR817,,,,,,
Belgium,https://openaq.org/#/location/BETR831,BETN016,Belgium,"Antwerpen,",,,
Belgium,https://openaq.org/#/location/BETR834,,,,,,
Belgium,https://openaq.org/#/location/BETN063,,,,,,
Bermuda,https://openaq.org/#/location/Rangoon,,,,,,
Bosnia and Herzegovina,https://openaq.org/#/location/Lukavac,BETR803,Belgium,"Antwerpen,",,,
Bosnia and Herzegovina,https://openaq.org/#/location/Manama,,,,,,
Bosnia and Herzegovina,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Sarajevo,,,,,,
